BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,100,133,4,50083163660
202107,104,149,0,1805551291079
202107,104,127,3,1041977323215
202107,102,109,4,425519971868
202107,102,115,0,1604618666027
202107,104,142,4,2198403389
202107,100,140,1,5493835390
202107,100,153,3,17482460077
202107,104,118,0,1952639566388
202107,100,152,1,4184044848
202107,104,140,3,1972306055653
202107,100,114,3,83830194061
202107,102,127,4,515585371114
202107,100,152,4,27424218238
202107,100,131,4,2662070517
202107,100,161,4,24641439822
202107,102,110,0,7119479038
202107,100,105,4,315049940269
202107,100,159,0,2155351613736
202107,104,120,3,17075198431
202107,102,116,1,203985818953
202107,104,143,4,207623985940
202107,104,146,4,1208892836403
202107,102,152,0,8104876683
202107,102,151,4,1391878701415
202107,100,152,3,35383650840
202107,104,113,0,11120161462
202107,100,114,0,441310210544
202107,100,112,3,433814565230
202107,100,153,4,41755673225
202107,100,103,1,6283726736
202107,102,101,1,26576010089
202107,100,134,4,323998796074
202107,104,141,1,612408329124
202107,104,135,3,105995020814
202107,104,110,0,1990475677154
202107,100,103,1,358305387304
202107,102,115,0,299548156299
202107,104,128,3,1789422704335
202107,102,103,0,15318804978
202107,100,129,0,20721840940
202107,100,159,1,96759347642
202107,102,131,1,20939798612
202107,102,117,0,583365768605
202107,100,116,0,1364242708043
202107,104,116,3,1011813577369
202107,104,146,0,384639578374
202107,102,120,0,6886135245
202107,100,123,3,22281510696
202107,104,103,3,488580099902
202107,104,127,3,130503289319
202107,104,143,3,145033372361
202107,100,158,1,14262091743
202107,104,133,4,270427724449
202107,102,130,0,1624780474215
202107,100,153,3,8913022885
202107,102,106,3,5945865314
202107,104,114,1,21330478346
202107,100,128,4,283220456812
202107,102,154,0,247993708692
202107,100,123,1,25132395144
202107,102,156,3,81236918573
202107,102,129,4,219870301431
202107,104,128,3,1162875692166
202107,102,153,4,16817277700
202107,100,158,3,31946862274
202107,104,113,1,161558737003
202107,100,159,1,469561341469
202107,102,136,3,15988846072
202107,100,160,1,2373866772
202107,100,143,3,99537936168
202107,104,152,3,210450562664
202107,100,142,3,17180732793
202107,100,144,3,20922096143
202107,102,107,3,31861053002
202107,104,152,4,488127275347
202107,104,150,0,20110477700
202107,100,128,4,90764294617
202107,104,116,4,2015115015553
202107,100,113,0,1650260311154
202107,100,156,4,140444525740
202107,100,115,3,24940142721
202107,102,143,3,1492585964022
202107,102,103,3,798705363553
202107,104,134,4,23261181728
202107,100,156,3,1076916816359
202107,104,115,3,24873251220
202107,102,157,1,3364936012
202107,100,144,3,140975109985
202107,100,110,3,7586096294
202107,104,105,4,142899259679
202107,104,155,0,204463017469
202107,100,151,0,2643983806891
202107,102,118,0,107160547989
202107,102,128,3,96737607596
202107,104,109,0,52878484341
202107,104,118,0,222612577044
202107,104,160,4,142752307807
202107,104,158,3,35965932398
202107,102,103,0,201177280716
202107,102,141,3,2350469910633
202107,102,115,3,676326802
202107,102,122,1,16773782099
202107,102,129,0,299347924929
202107,100,145,4,873368091833
202107,102,110,3,431235242142
202107,100,123,0,2098858557238
202107,100,144,3,2608463642689
202107,102,145,1,27764895360
202107,104,142,3,2037713568
202107,104,105,1,21408685944
202107,100,129,4,886108362271
202107,102,133,0,26879750533
202107,100,101,1,467312871169
202107,100,125,0,228628674844
202107,102,118,0,2120304493939
202107,100,115,0,2107857764449
202107,100,159,0,192454907209
202107,102,152,0,336117970784
202107,100,128,4,78324764573
202107,100,106,4,17275299930
202107,104,138,3,9069119294
202107,100,117,3,210787644909
202107,100,160,3,15851639828
202107,104,151,1,154205391059
202107,102,151,0,599920117742
202107,102,132,4,1085557041797
202107,100,133,3,1025859396060
202107,102,143,4,425652915099
202107,102,134,0,909709698046
202107,102,137,4,136782549061
202107,102,143,0,19195923719
202107,102,125,1,37522517369
202107,100,109,0,19027146049
202107,102,113,0,847620156173
202107,100,148,0,499977779577
202107,104,121,1,158680161113
202107,102,103,3,5432048327
202107,102,105,1,344645706380
202107,100,110,4,8351038604
202107,102,145,3,29376364466
202107,104,120,4,17136336875
202107,104,125,3,81374538061
202107,102,115,4,15280920713
202107,102,157,3,435841107986
202107,100,115,4,9249565036
202107,100,150,4,25329305959
202107,100,122,4,765592054109
202107,102,145,0,16264289067
202107,102,111,4,521144950176
202107,102,146,3,2842468774090
202107,104,132,0,2172945717990
202107,100,111,3,14681281383
202107,102,160,1,129721860405
202107,100,151,1,7105252322
202107,100,101,1,280848382
202107,104,129,1,1593535785702
202107,102,114,1,147979364145
202107,100,123,3,213626283395
202107,104,106,3,94306992323
202107,102,114,4,354955276
202107,100,153,3,16415312168
202107,104,142,4,18836802108
202107,104,143,1,42379564274
202107,100,158,1,1945051397137
202107,100,121,3,7401079471
202107,104,117,1,2186722482619
202107,102,120,4,176488037863
202107,102,151,4,1696281100769
202107,100,106,1,1268171766442
202107,100,148,0,13456370105
202107,100,131,0,1257077371751
202107,100,113,4,236907869531
202107,102,134,0,168921727228
202107,100,155,4,12683223869
202107,104,113,4,28825291606
202107,104,143,4,152685412328
202107,102,103,0,176522447478
202107,102,112,3,102550261399
202107,100,157,0,9952130628
202107,102,141,3,30966214590
202107,102,111,4,1518715583364
202107,102,111,1,24270382779
202107,102,143,0,1547359992087
202107,100,146,3,4249769901
202107,100,157,1,25100395360
202107,100,138,4,16925077255
202107,104,137,1,135477890161
202107,100,101,3,292913867476
202107,104,113,1,308909311644
202107,102,129,3,34959742963
202107,104,132,3,1200460573514
202107,100,153,3,9131153461
202107,104,131,3,140484396489
202107,102,121,4,38116543664
202107,100,116,4,110568880492
202107,102,111,0,80818766
202107,100,143,4,28118488738
202107,100,117,1,43988818465
202107,102,153,0,5643094961
202107,102,114,1,137951942917
202107,100,111,4,12583037303
202107,102,126,4,2225887472060
202107,100,144,0,431169687032
202107,100,115,3,7874347078
202107,102,127,0,17402666278
202107,104,148,0,785233755
202107,104,112,4,625527276
202107,102,133,4,1678803548059
202107,102,116,0,897194837692
202107,100,143,0,12976576038
202107,104,151,0,411045301280
202107,104,152,3,3869228291
202107,104,117,1,271534998701
202107,104,146,1,3915021918
202107,100,122,4,28156097330
202107,100,133,1,219025072652
202107,102,114,3,331405562817
202107,102,146,3,827383026926
202107,100,116,1,32239623663
202107,100,157,0,151782016025
202107,100,138,3,134637971557
202107,100,127,3,184393594946
202107,102,122,4,506826616690
202107,104,129,1,28148299563
202107,102,161,4,88222619752
202107,102,156,3,7016717453
202107,102,161,0,26623001133
202107,104,122,4,2001864945241
202107,104,141,3,484614354550
202107,102,154,1,1179422391234
202107,100,114,4,1909804259201
202107,102,114,1,227942811027
202107,104,134,1,24311547645
202107,100,137,0,32877445204
202107,104,111,1,28571945083
202107,104,137,0,1675808404661
202107,100,141,3,1367464166584
202107,100,132,0,1531395535360
202107,100,152,1,101919194867
202107,100,134,1,10891795163
202107,104,133,4,10714471494
202107,100,103,1,305529446345
202107,100,148,4,1349433484279
202107,104,150,3,32732165521
202107,102,130,0,18892196525
202107,100,133,1,626917535626
202107,100,155,4,105188140831
202107,100,154,3,37484420271
202107,104,121,0,229935727070
202107,102,130,4,276625227770
202107,102,105,3,3331623639076
202107,104,128,1,238448685412
202107,102,151,4,801061484700
202107,104,132,3,543540233603
202107,104,116,3,74091755919
202107,104,159,1,143158358449
202107,100,144,4,6669861030
202107,102,110,0,33630245341
202107,104,161,3,129065997548
202107,100,112,4,7830196391
202107,102,129,0,52928986549
202107,100,132,3,41957661574
202107,104,106,0,1108137897904
202107,102,160,0,1562284032698
202107,100,116,0,32357803357
